"n_simul","n_vars","prop_censored","target_R2_C","censoring_threshold","mixture_T","mixture_T_type","mixture_T_n_groups","type_pred","algo","type_w","minleaf","maxdepth","max_w_mod","mean_R2","sd_R2","mean_Kendall","sd_Kendall","mean_concordance","sd_concordance","mean_KM_R2","sd_KM_R2","mean_Cox_R2","sd_Cox_R2","mean_RSF_R2","sd_RSF_R2","mean_mse","sd_mse","mean_KM_mse","sd_KM_mse","mean_Cox_mse","sd_Cox_mse","mean_RSF_mse","sd_RSF_mse","mean_R2_20","sd_R2_20","mean_Kendall_20","sd_Kendall_20"
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,NA,"w_RF1","RSF",50,4,50,0.01124,0.01637,0.53405,0.01714,0.5339,0.01787,0.01094,0.01838,0.01095,0.01798,0.01143,0.01828,12163.95608,2397.85711,12081.97933,2424.98905,11980.8632,2413.79252,11989.02801,2414.65985,0.12706,0.18122,0.63664,0.0657
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,NA,"w_gam","Cox",NA,NA,10,0.01112,0.01834,0.53527,0.01845,0.53531,0.01875,0.01069,0.02106,0.01066,0.02032,0.01094,0.02009,12162.7227,2388.61591,12081.33831,2410.98916,11979.94688,2395.79944,11990.77917,2397.60123,0.11799,0.17886,0.63495,0.07036
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,NA,"w_gam","Cox",NA,NA,50,0.01112,0.01834,0.53527,0.01845,0.53531,0.01875,0.01069,0.02106,0.01066,0.02032,0.01094,0.02009,12162.7227,2388.61591,12081.33831,2410.98916,11979.94688,2395.79944,11990.77917,2397.60123,0.11799,0.17886,0.63495,0.07036
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,NA,"w_gam","KM",NA,NA,10,0.01029,0.01915,0.53502,0.01846,0.53503,0.0188,0.01074,0.02181,0.00986,0.02123,0.01027,0.02108,12171.15603,2381.16299,12078.58844,2399.68545,11987.88815,2388.37031,11996.95692,2389.08198,0.08731,0.20828,0.62978,0.07068
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,NA,"w_gam","KM",NA,NA,50,0.01029,0.01915,0.53502,0.01846,0.53503,0.0188,0.01074,0.02181,0.00986,0.02123,0.01027,0.02108,12171.15603,2381.16299,12078.58844,2399.68545,11987.88815,2388.37031,11996.95692,2389.08198,0.08731,0.20828,0.62978,0.07068
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,NA,"w_gam","RSF",NA,NA,10,0.01137,0.01838,0.53559,0.01842,0.5356,0.0187,0.01113,0.02133,0.01083,0.02066,0.01118,0.02042,12158.80714,2383.50928,12074.88849,2405.20245,11977.05613,2391.43661,11986.93011,2392.52927,0.11929,0.18426,0.63987,0.07037
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,NA,"w_gam","RSF",NA,NA,50,0.01137,0.01838,0.53559,0.01842,0.5356,0.0187,0.01113,0.02133,0.01083,0.02066,0.01118,0.02042,12158.80714,2383.50928,12074.88849,2405.20245,11977.05613,2391.43661,11986.93011,2392.52927,0.11929,0.18426,0.63987,0.07037
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,NA,"rsf_reg",NA,50,4,NA,0.00975,0.01669,0.53624,0.01776,0.53636,0.01829,0.00928,0.01779,0.00921,0.01788,0.00983,0.01796,12175.66261,2368.4387,12094.60957,2390.02068,11994.38391,2378.96456,12000.98725,2380.52998,0.12609,0.17605,0.63869,0.0666
2000,6,0.1,0.05,1000,TRUE,"dependant",NA,NA,"cox_reg",NA,NA,NA,NA,0.00865,0.02062,0.53658,0.0182,0.53658,0.01854,0.00764,0.02355,0.0075,0.02325,0.00812,0.02303,12184.45291,2354.39167,12108.6898,2375.22808,12008.76249,2362.0924,12015.37222,2361.9942,0.10695,0.22449,0.63997,0.0686
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,"KM_local","w_RF2","Cox",50,4,10,0.00964,0.01976,0.53609,0.01816,0.5362,0.01861,0.01019,0.0196,0.00927,0.02059,0.00995,0.01993,12006.54652,2418.45711,11874.65868,2520.81496,11743.51515,2486.86543,11694.26746,2471.46089,0.12539,0.21782,0.64479,0.0672
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,"KM_local","w_RF2","Cox",50,4,50,0.01025,0.02012,0.53678,0.01801,0.53695,0.0186,0.01096,0.02043,0.01002,0.02146,0.01067,0.02081,11999.07435,2416.13421,11865.16757,2518.77743,11734.48869,2485.36001,11685.66326,2470.25023,0.1292,0.21515,0.649,0.06416
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,"KM_local","w_RF2","KM",50,4,10,0.00999,0.01986,0.53641,0.01803,0.53657,0.0185,0.01135,0.01995,0.00987,0.02096,0.01065,0.02028,12001.10504,2409.52991,11859.89284,2512.56844,11735.46581,2480.00869,11684.81052,2462.93296,0.12834,0.22269,0.65182,0.06724
2000,6,0.1,0.1,1000,TRUE,"dependant",NA,"KM_local","w_RF2","KM",50,4,50,0.00992,0.02003,0.53656,0.01825,0.5367,0.01875,0.01127,0.02018,0.00979,0.02124,0.01062,0.02067,12002.9433,2415.52922,11861.90275,2517.533,11737.205,2483.19546,11685.99497,2466.41609,0.1497,0.21425,0.65217,0.06631
