"prop_censored","target_R2_C","criteria_non_censored.mse","criteria_weighted.RSF_mse","criteria_weighted.Cox_mse","criteria_weighted.KM_mse","criteria_weighted.0_1_mse"
0.1,0.05,1,0.918626262626262,0.915555555555556,0.904080808080808,0.727070707070707
0.1,0.1,1,0.914040404040404,0.912808080808081,0.90169696969697,0.717878787878788
0.3,0.05,1,0.779030303030303,0.757595959595959,0.726020202020202,0.163878787878788
0.3,0.1,1,0.741575757575757,0.737212121212121,0.652747474747475,0.153656565656566
0.5,0.05,1,0.672242424242424,0.657818181818182,0.618565656565656,0.00101010101010101
0.5,0.1,1,0.566020202020202,0.591454545454545,0.462343434343434,-0.0448282828282828
