"algo","type_weights","nodesize","max_ratio_weights_model","iter","concordance.concordant","criteria_group.Gini_20","criteria_group.Kendall_20","criteria_group.R2_20","criteria_weighted.KM_Gini","criteria_weighted.KM_R2","criteria_weighted.Cox_Gini","criteria_weighted.Cox_R2","criteria_weighted.RSF_Gini","criteria_weighted.RSF_R2","criteria_weighted.0_1_Gini","criteria_weighted.0_1_R2"
"w_RF","KM",100,10,1,0.51314078617468,0.139802102659246,0.539888682745826,-0.185079255478362,0.100485588913975,0.00442292680179845,0.0575420113255016,0.0016461776943103,0.0405954103541114,-0.00325525546914229,0.0927248259423849,-0.149540658671192
"w_RF","Cox",100,10,1,0.520325930944145,0.13265306122449,0.545248402391259,-0.126700119124152,-0.118467146813487,-0.0203408286438673,0.00473427195417641,-0.0026833610876007,-0.0360229490311406,-0.0125416843558721,-0.318198124228838,-0.136169324714438
"w_RF","RSF",100,10,1,0.521307818548028,0.167062461348176,0.556998556998557,-0.107138016307323,-0.083595980909836,-0.0118870822967558,0.00594529936680757,-0.000425107554252513,-0.0267559067289253,-0.00917307957065394,-0.256366922168518,-0.13334324605844
"w_RF","KM",200,10,1,0.519892871345926,0.146876932591218,0.552257266542981,-0.0257694042072898,0.0784251529891122,0.00633289918641999,0.0339905290092233,0.00443509356768446,0.0232742976998456,0.00141371922544253,0.0254210314907889,-0.153905834025378
"w_RF","Cox",200,10,1,0.529582043891233,0.210327767470625,0.566893424036281,0.0348151284983849,-0.166985095672208,-0.00954865488243373,0.0187438639229649,0.00731315468536442,-0.0296659303031629,-0.000279030351853837,-0.447889743070134,-0.138698935366401
"w_RF","RSF",200,10,1,0.530894085842274,0.245924551638837,0.58111729540301,0.0608632346585808,-0.134954697166133,-0.00643403339561011,0.0167785537998477,0.0079210537381611,-0.0243823108771397,0.00115953489451392,-0.378633204978069,-0.133199832358254
"w_gam","KM",NA,10,1,0.508217413069181,0.0398268398268398,0.513296227581942,-0.69634280619119,0.168985037218312,-0.00215097372644291,0.0872916956360773,-0.0257869720279358,0.0834906516248283,-0.0337206024884773,0.238942466543466,-0.16640978544932
"w_gam","Cox",NA,10,1,0.522226462299697,0.179035250463822,0.562976705833849,-0.340748813472745,-0.0815345490251591,-0.0290261303404065,0.0338362926442542,-0.0147200238223395,-0.00688689451767825,-0.030010530726619,-0.269773450927664,-0.154806030543489
"w_gam","RSF",NA,10,1,0.520907988770464,0.21139146567718,0.567511853226139,-0.359022309201624,-0.0464812668110685,-0.0226493831260661,0.0385094422753964,-0.0147439014416972,0.00408645271523959,-0.0280814389633186,-0.195319109941178,-0.151503258576412
"RSF_regression",NA,100,NA,1,0.548400841679199,0.333815708101422,0.616780045351474,0.149274823594075,-0.191867376918337,-0.000436982180860523,-0.0182697405839795,0.0140540351878196,-0.0353009530691317,0.0103666377112881,-0.5358979040983,-0.17199249867017
"RSF_regression",NA,200,NA,1,0.552622100832139,0.37104514533086,0.630179344465059,0.204432313334766,-0.232922830508494,0.00162600349755349,-0.0186526463852904,0.0150979214929939,-0.0518454997484939,0.0110681648965532,-0.632092905056522,-0.173805119396799
"Cox_regression",NA,NA,NA,1,0.545337266600707,0.378070500927644,0.634508348794063,0.14194212637728,-0.245508515679955,0.000994971981235437,-0.0545011002246775,0.0143265851467039,-0.0783012284933153,0.0114845596257259,-0.647249661212433,-0.17758437158717
"w_RF","KM",100,10,2,0.533994376139972,0.243982683982684,0.580498866213152,0.00814549504342077,0.159506177762833,0.0166702026805309,0.0627268957169598,0.0112723970607508,0.0715621853360162,0.00779598162415651,0.126718379103146,-0.185597462948513
"w_RF","Cox",100,10,2,0.563254703438492,0.506518243661101,0.675324675324675,0.23361279642572,-0.0852206289682757,0.0121120832503508,0.0900164773799103,0.0347298054574221,0.0359485533823888,0.0193343772424769,-0.512641696915609,-0.160295048033498
"w_RF","RSF",100,10,2,0.550443744511248,0.399035250463822,0.63821892393321,0.170539432967014,-0.042171419684067,0.010161509100214,0.0759984718953749,0.0250452222037255,0.041445167328346,0.0137835148890914,-0.353933444344059,-0.173077689236984
"w_RF","KM",200,10,2,0.535938661082213,0.282251082251082,0.594104308390023,0.0858489430053644,0.203219902311803,0.0193396477046333,0.0700545270890993,0.0118958451752268,0.0917759996185587,0.0111691320561502,0.198415791553643,-0.18717234390687
"w_RF","Cox",200,10,2,0.559492797068162,0.45182436611008,0.65945165945166,0.208235758431317,-0.0995797419202611,0.0106471325842189,0.0938363624912041,0.0292986991384965,0.0379177724963533,0.0170468527313745,-0.526077884995554,-0.175597191700564
"w_RF","RSF",200,10,2,0.557331073093292,0.525541125541126,0.679447536590394,0.245672376686821,-0.0751288636257542,0.0128795080570449,0.0845001714551878,0.0250240998379346,0.0364039189841431,0.0156540548665506,-0.45236373552836,-0.183842797987004
"w_gam","KM",NA,10,2,0.534634026886442,0.267124304267161,0.596578025149454,-0.384974522126177,0.194672130874537,0.0144634999528733,0.0821607962832209,0.00253315444545166,0.102701427832523,-0.00114123937981003,0.190596433921334,-0.191612369310466
"w_gam","Cox",NA,10,2,0.553714829764237,0.441224489795918,0.653267367553082,-0.0803946380176712,-0.0444206231537566,0.00436991787579855,0.0842439132516379,0.0260442710290141,0.0429062585155993,0.00737324029089437,-0.394916779758846,-0.173151659806268
"w_gam","RSF",NA,10,2,0.54828940924137,0.375287569573284,0.63162234590806,-0.161139802731961,0.0285279778913581,0.00993985591440483,0.0845254203715111,0.020937482202689,0.0628897528852477,0.00733618465658314,-0.215689330268516,-0.182637521852332
