"algo","type_weights","nodesize","max_ratio_weights_model","iter","concordance.concordant","criteria_group.Gini_20","criteria_group.Kendall_20","criteria_group.R2_20","criteria_weighted.KM_Gini","criteria_weighted.KM_R2","criteria_weighted.Cox_Gini","criteria_weighted.Cox_R2","criteria_weighted.RSF_Gini","criteria_weighted.RSF_R2","criteria_weighted.0_1_Gini","criteria_weighted.0_1_R2"
"w_RF","KM",100,1000,1,0.51314078617468,0.139802102659246,0.539888682745826,-0.185079255478366,0.100485588913975,0.00442292680179845,0.0575420113255016,0.0016461776943103,0.0405954103541114,-0.00325525546914229,0.0927248259423849,-0.149540658671192
"w_RF","Cox",100,1000,1,0.529870392980147,0.217934446505875,0.568336425479283,-0.00950412959277891,-0.155769392147782,-0.0191112560520053,-0.00377087958996335,0.00181749924874341,-0.0459088372270078,-0.00756061817412257,-0.418745265197162,-0.143093233221995
"w_RF","RSF",100,1000,1,0.521708720255291,0.176623376623377,0.559059987631416,-0.108548005940754,-0.101001221974951,-0.0140854750734229,0.00200961484073373,0.000163161740890372,-0.0363347254962842,-0.00916163914429124,-0.289103309098156,-0.136901185417384
"w_RF","KM",200,1000,1,0.519892871345926,0.146876932591218,0.552257266542981,-0.0257694042072891,0.0784251529891122,0.00633289918641977,0.0339905290092233,0.00443509356768435,0.0232742976998456,0.00141371922544242,0.0254210314907889,-0.153905834025379
"w_RF","Cox",200,1000,1,0.536966567584632,0.253617810760668,0.584827870542156,0.0744032553100166,-0.212185207278045,-0.0111568824174835,0.0133415822237292,0.00919980554196431,-0.0399853518443424,0.0013840277381173,-0.552374080070215,-0.150356075692951
"w_RF","RSF",200,1000,1,0.531055947226757,0.218342609771181,0.575963718820862,0.0602264076495679,-0.162122861057254,-0.00800329526017585,0.00982325025384297,0.00784446183383869,-0.0352217123745721,0.000148532957466641,-0.437305660220076,-0.140482077720941
"w_gam","KM",NA,1000,1,0.508217413069181,0.0398268398268398,0.513296227581942,-0.69634280619119,0.168985037218312,-0.00215097372644291,0.0872916956360773,-0.0257869720279358,0.0834906516248283,-0.0337206024884773,0.238942466543466,-0.16640978544932
"w_gam","Cox",NA,1000,1,0.531516876997139,0.237649969078541,0.582766439909297,-0.099759298107025,-0.154518803823127,-0.0292402075839611,0.00655283451505656,-0.00582846644627955,-0.0375449205721511,-0.0180263267844172,-0.429942831979133,-0.160085446971367
"w_gam","RSF",NA,1000,1,0.523194414817499,0.235856524427953,0.57905586477015,-0.371994292772391,-0.0660241886233705,-0.024355983299124,0.0326728332518226,-0.0136507749442205,-0.00374412461558824,-0.0268335707221916,-0.234665148142779,-0.155367617650023
"RSF_regression",NA,100,NA,1,0.548400841679199,0.333815708101422,0.616780045351474,0.149274823594076,-0.191867376918337,-0.000436982180860523,-0.0182697405839795,0.0140540351878196,-0.0353009530691317,0.0103666377112883,-0.5358979040983,-0.17199249867017
"RSF_regression",NA,200,NA,1,0.552622100832139,0.37104514533086,0.630179344465059,0.204432313334766,-0.232922830508494,0.00162600349755326,-0.0186526463852904,0.0150979214929936,-0.0518454997484939,0.011068164896553,-0.632092905056522,-0.1738051193968
"Cox_regression",NA,NA,NA,1,0.545337266600707,0.378070500927644,0.634508348794063,0.14194212637728,-0.245508515679955,0.000994971981235437,-0.0545011002246775,0.0143265851467039,-0.0783012284933153,0.0114845596257259,-0.647249661212433,-0.17758437158717
"w_RF","KM",100,1000,2,0.533994376139972,0.243982683982684,0.580498866213152,0.00814549504342443,0.159506177762833,0.0166702026805312,0.0627268957169598,0.0112723970607512,0.0715621853360162,0.00779598162415673,0.126718379103146,-0.185597462948512
"w_RF","Cox",100,1000,2,0.561727352563669,0.512925170068027,0.680890538033395,0.19810991348716,-0.0869241253489328,0.00698600017775508,0.0925065971446169,0.0333710968586205,0.0405910600328058,0.016143604147539,-0.491762669923049,-0.173495650894608
"w_RF","RSF",100,1000,2,0.552758520232385,0.401743970315399,0.638631210059782,0.125840751131554,-0.0511378213103368,0.00898179028636792,0.0803506301942359,0.0267862831417219,0.040649600908255,0.0135671233511261,-0.37454049893589,-0.174182049982682
"w_RF","KM",200,1000,2,0.535938661082213,0.282251082251082,0.594104308390023,0.0858489430053654,0.203219902311803,0.0193396477046336,0.0700545270890993,0.0118958451752272,0.0917759996185587,0.0111691320561507,0.198415791553643,-0.187172343906867
"w_RF","Cox",200,1000,2,0.55750945754239,0.457093382807669,0.659657802514945,0.202269007273012,-0.117926988306155,0.00441388215197802,0.0775426112180709,0.0246442247684946,0.0267363031857894,0.0115787169821857,-0.553327148846813,-0.192932363168125
"w_RF","RSF",200,1000,2,0.556082381949605,0.497142857142857,0.675530818387961,0.235408284598024,-0.0964271551791937,0.00933009119685801,0.0726889868353598,0.0237977252667183,0.0278902487544151,0.0137430228396792,-0.492528624971804,-0.189183985159088
"w_gam","KM",NA,1000,2,0.534634026886442,0.267124304267161,0.596578025149454,-0.384974522126177,0.194672130874537,0.0144634999528733,0.0821607962832209,0.00253315444545166,0.102701427832523,-0.00114123937981003,0.190596433921334,-0.191612369310466
"w_gam","Cox",NA,1000,2,0.553751773289198,0.476066790352505,0.667285095856524,-0.11762714007594,-0.0671775499739442,-0.00355386558566106,0.0806971432616356,0.0220499255941888,0.0342525483696183,0.00137227685335239,-0.436141843125571,-0.185333750682108
"w_gam","RSF",NA,1000,2,0.548786563534419,0.375646258503401,0.629973201401773,-0.110679943686139,0.00512209739126543,0.00762355217485888,0.0857586420300303,0.0204227483645317,0.0597670742538871,0.00597770135303288,-0.26184874520728,-0.186821386811848
